#Period                           :500.223450
#Sampling Interval                :0.234000
#Total no. of lines is 3(including this line) and the numeric values at each line start from the 36th character
0.566011 0.307019
0.566479 0.306541
0.566948 0.305310
0.567416 0.304923
0.567884 0.303898
0.568352 0.303170
0.568820 0.302233
0.569288 0.301549
0.569757 0.300481
0.570225 0.299797
0.570693 0.299114
0.571161 0.298130
0.571629 0.297747
0.572097 0.296680
0.572566 0.296038
0.573034 0.294671
0.573502 0.294370
0.573970 0.293606
0.574438 0.292660
0.574906 0.291937
0.575375 0.290951
0.575843 0.290190
0.576311 0.289242
0.576779 0.288558
0.577247 0.287837
0.577715 0.287116
0.578184 0.286470
0.578652 0.285481
0.579120 0.284761
0.579588 0.283700
0.580056 0.283052
0.580524 0.282062
0.580993 0.281378
0.581461 0.280625
0.581929 0.279668
0.582397 0.278951
0.582865 0.278301
0.583333 0.277859
0.583802 0.276591
0.584270 0.276217
0.584738 0.274850
0.585206 0.274134
0.585674 0.273514
0.586142 0.272488
0.586610 0.271774
0.587079 0.271090
0.587547 0.270065
0.588015 0.269411
0.588483 0.268727
0.588951 0.267644
0.589419 0.267331
0.589888 0.266306
0.590356 0.265308
0.590824 0.264939
0.591292 0.263544
0.591760 0.262888
0.592228 0.262231
0.592697 0.261205
0.593165 0.260811
0.593633 0.259838
0.594101 0.258787
0.594569 0.258128
0.595037 0.257712
0.595506 0.256419
0.595974 0.256053
0.596442 0.255027
0.596910 0.253979
0.597378 0.253319
0.597846 0.252658
0.598315 0.251952
0.598783 0.250926
0.599251 0.250243
0.599719 0.249239
0.600187 0.248555
0.600655 0.247830
0.601124 0.247167
0.601592 0.246142
0.602060 0.245478
0.602528 0.244395
0.602996 0.243768
0.603464 0.243066
0.603933 0.242058
0.604401 0.241339
0.604869 0.240691
0.605337 0.239665
0.605805 0.238965
0.606273 0.237939
0.606742 0.237598
0.607210 0.236588
0.607678 0.235889
0.608146 0.235190
0.608614 0.234180
0.609082 0.233155
0.609551 0.232485
0.610019 0.231774
0.610487 0.230776
0.610955 0.230079
0.611423 0.229408
0.611891 0.228700
0.612360 0.227698
0.612828 0.227345
0.613296 0.226320
0.613764 0.225283
0.614232 0.224611
0.614700 0.223595
0.615169 0.222902
0.615637 0.222218
0.616105 0.221193
0.616573 0.220860
0.617041 0.219835
0.617509 0.218793
0.617977 0.218125
0.618446 0.217434
0.618914 0.216416
0.619382 0.215712
0.619850 0.215048
0.620318 0.214016
0.620786 0.213333
0.621255 0.212302
0.621723 0.211971
0.622191 0.210945
0.622659 0.209915
0.623127 0.209573
0.623595 0.208548
0.624064 0.207526
0.624532 0.207181
0.625000 0.206156
0.625468 0.205129
0.625936 0.204447
0.626405 0.203765
0.626873 0.203080
0.627341 0.202054
0.627809 0.201371
0.628277 0.200688
0.628745 0.200004
